,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
149,6.0,Captain Steve,,,,_Preakness_Stakes,2000,4,11.5
150,2.0,Snuck In,,,,_Preakness_Stakes,2000,5,19.6
151,1.0,Hugh Hefner,,,,_Preakness_Stakes,2000,6,49.7
152,5.0,High Yield,,,,_Preakness_Stakes,2000,7,7.3
153,8.0,Hal's Hope,,,,_Preakness_Stakes,2000,8,35.1
154,10.0,Dollar Bill,,,,_Preakness_Stakes,2001,4,8.3
155,3.0,Griffinite,,,,_Preakness_Stakes,2001,5,59.1
156,7.0,Monarchos,,,,_Preakness_Stakes,2001,6,2.3
157,1.0,Marciano,,,,_Preakness_Stakes,2001,7,46.3
158,9.0,Bay Eagle,,,,_Preakness_Stakes,2001,8,88.3
159,8.0,Percy Hope,,,,_Preakness_Stakes,2001,9,52.6
160,6.0,Richly Blended,,,,_Preakness_Stakes,2001,10,17.9
161,2.0,Mr. John,,,,_Preakness_Stakes,2001,11,20.2
162,12.0,Proud Citizen,,,,_Preakness_Stakes,2002,3,7.4
163,6.0,Harlan's Holiday,,,,_Preakness_Stakes,2002,4,5.2
164,7.0,Easyfromthegitgo,,,,_Preakness_Stakes,2002,5,23.4
165,1.0,U S S Tinosa,,,,_Preakness_Stakes,2002,6,10.2
166,4.0,Crimson Hero,,,,_Preakness_Stakes,2002,7,14.8
167,5.0,Medaglia d'Oro,,,,_Preakness_Stakes,2002,8,3.0
168,3.0,Straight Gin,,,,_Preakness_Stakes,2002,9,28.0
169,1.0,Menacing Dennis,,,,_Preakness_Stakes,2002,10,51.2
170,9.0,Table Limit,,,,_Preakness_Stakes,2002,11,23.1
171,10.0,Booklet,,,,_Preakness_Stakes,2002,12,9.9
172,11.0,Equality,,,,_Preakness_Stakes,2002,13,27.5
173,2.0,Scrimshaw,,,,_Preakness_Stakes,2003,3,4.9
174,7.0,Peace Rules,,,,_Preakness_Stakes,2003,4,2.4
175,10.0,Senor Swinger,,,,_Preakness_Stakes,2003,5,4.9
176,8.0,New York Hero,,,,_Preakness_Stakes,2003,6,19.6
177,3.0,Foufa's Warrior,,,,_Preakness_Stakes,2003,7,22.4
178,1.0,Cherokee's Boy,,,,_Preakness_Stakes,2003,8,9.7
179,5.0,Ten Cents A Shine,,,,_Preakness_Stakes,2003,9,8.5
180,4.0,Kissin Saint,,,,_Preakness_Stakes,2003,10,10.2
181,1.0,Lion Heart,,,,_Preakness_Stakes,2004,4,4.9
182,8.0,Imperialism,,,,_Preakness_Stakes,2004,5,6.6
183,6.0,Sir Shackleton,,,,_Preakness_Stakes,2004,6,37.5
184,2.0,Borrego,,,,_Preakness_Stakes,2004,7,12.8
185,3.0,Little Matth Man,,,,_Preakness_Stakes,2004,8,45.0
186,5.0,Song of the Sword,,,,_Preakness_Stakes,2004,9,51.0
187,11.0,Water Cannon,,,,_Preakness_Stakes,2004,10,39.5
188,10.0,Sun King,,,,_Preakness_Stakes,2005,4,21.1
189,11.0,High Limit,,,,_Preakness_Stakes,2005,5,18.7
190,3.0,Noble Causeway,,,,_Preakness_Stakes,2005,6,11.3
191,4.0,Greeley's Galaxy,,,,_Preakness_Stakes,2005,7,9.4
192,1.0,Malibu Moonshine,,,,_Preakness_Stakes,2005,8,24.0
193,7.0,Closing Argument,,,,_Preakness_Stakes,2005,9,7.2
194,2.0,High Fly,,,,_Preakness_Stakes,2005,10,5.1
195,6.0,Hal's Image,,,,_Preakness_Stakes,2005,11,23.5
196,9.0,Wilko,,,,_Preakness_Stakes,2005,12,13.3
197,5.0,Galloping Grocer,,,,_Preakness_Stakes,2005,13,27.0
198,14.0,Going Wild,,,,_Preakness_Stakes,2005,14,26.5
199,5.0,Brother Derek,,,,_Preakness_Stakes,2006,4,3.2
200,4.0,Greeley's Galaxy,,,,_Preakness_Stakes,2006,5,34.9
201,2.0,Platinum Couple,,,,_Preakness_Stakes,2006,6,33.2
202,1.0,Like Now,,,,_Preakness_Stakes,2006,7,17.4
203,9.0,Diabolical,,,,_Preakness_Stakes,2006,8,26.0
204,6.0,Barbaro,,,,_Preakness_Stakes,2006,9,0.5
205,9.0,C P West,,,,_Preakness_Stakes,2007,4,24.9
206,3.0,Circular Quay,,,,_Preakness_Stakes,2007,5,6.0
207,5.0,King of the Roxy,,,,_Preakness_Stakes,2007,6,14.2
208,1.0,Mint Slewlep,,,,_Preakness_Stakes,2007,7,40.1
209,2.0,Xchanger,,,,_Preakness_Stakes,2007,8,23.0
210,6.0,Flying First Class,,,,_Preakness_Stakes,2007,9,16.6
211,6.0,Racecar Rhapsody,,,,_Preakness_Stakes,2008,4,25.0
212,9.0,Stevil,,,,_Preakness_Stakes,2008,5,41.0
213,8.0,Kentucky Bear,,,,_Preakness_Stakes,2008,6,14.0
214,13.0,Hey Byrn,,,,_Preakness_Stakes,2008,7,34.0
215,11.0,Giant Moon,,,,_Preakness_Stakes,2008,8,37.0
216,2.0,Tres Borrachos,,,,_Preakness_Stakes,2008,9,43.0
217,4.0,Yankee Bravo,,,,_Preakness_Stakes,2008,10,24.0
218,12.0,Gayego,,,,_Preakness_Stakes,2008,11,9.0
219,10.0,Riley Tucker,,,,_Preakness_Stakes,2008,12,36.0
220,5.0,Behindatthebar,,,,_Preakness_Stakes,2008,0,0.0
221,10.0,Flying Private,,,,_Preakness_Stakes,2009,4,50.0
222,1.0,Big Drama,,,,_Preakness_Stakes,2009,5,10.0
223,7.0,Papa Clem,,,,_Preakness_Stakes,2009,6,12.0
224,6.0,Terrain,,,,_Preakness_Stakes,2009,7,30.0
225,4.0,Luv Gov,,,,_Preakness_Stakes,2009,8,50.0
226,8.0,General Quarters,,,,_Preakness_Stakes,2009,9,20.0
227,5.0,Friesan Fire,,,,_Preakness_Stakes,2009,10,6.0
228,9.0,Pioneerof the Nile,,,,_Preakness_Stakes,2009,11,5.0
229,12.0,Tone It Down,,,,_Preakness_Stakes,2009,12,50.0
230,11.0,Take the Points,,,,_Preakness_Stakes,2009,13,30.0
231,5.0,Yawanna Twist,,,,_Preakness_Stakes,2010,4,30.0
232,12.0,Dublin,,,,_Preakness_Stakes,2010,5,10.0
233,10.0,Paddy O'Prado,,,,_Preakness_Stakes,2010,6,4.5
234,9.0,Caracortado,,,,_Preakness_Stakes,2010,7,10.0
235,8.0,Super Saver,,,,_Preakness_Stakes,2010,8,2.5
236,2.0,Schoolyard Dreams,,,,_Preakness_Stakes,2010,9,15.0
237,1.0,Aikenite,,,,_Preakness_Stakes,2010,10,20.0
238,3.0,Pleasant Prince,,,,_Preakness_Stakes,2010,11,20.0
239,4.0,Northern Giant,,,,_Preakness_Stakes,2010,12,30.0
240,10.0,Dialed In,,,,_Preakness_Stakes,2011,4,4.5
241,8.0,Dance City,,,,_Preakness_Stakes,2011,5,12.0
