,Finish,Post,Horse,Track,Year,Odds
145,11,3,Pleasant Prince,_Preakness_Stakes,2010,20.0
146,12,4,Northern Giant,_Preakness_Stakes,2010,30.0
147,1,5,Shackleford,_Preakness_Stakes,2011,12.0
148,2,11,Animal Kingdom,_Preakness_Stakes,2011,2.0
149,3,1,Astrology,_Preakness_Stakes,2011,15.0
150,4,10,Dialed In,_Preakness_Stakes,2011,4.5
151,5,8,Dance City,_Preakness_Stakes,2011,12.0
152,6,9,Mucho Macho Man,_Preakness_Stakes,2011,6.0
153,7,3,King Congie,_Preakness_Stakes,2011,20.0
154,8,14,Mr. Commons,_Preakness_Stakes,2011,20.0
155,9,12,Isn't He Perfect,_Preakness_Stakes,2011,30.0
156,10,13,Concealed Identity,_Preakness_Stakes,2011,30.0
157,11,2,Norman Asbjornson,_Preakness_Stakes,2011,30.0
158,12,6,Sway Away,_Preakness_Stakes,2011,15.0
159,13,7,Midnight Interlude,_Preakness_Stakes,2011,15.0
160,14,4,Flashpoint,_Preakness_Stakes,2011,20.0
161,1,9,I'll Have Another,_Preakness_Stakes,2012,2.5
162,2,7,Bodemeister,_Preakness_Stakes,2012,1.6
163,3,6,Creative Cause,_Preakness_Stakes,2012,6.0
164,0,4,Zetterholm,_Preakness_Stakes,2012,20.0
165,5,2,Teeth of the Dog,_Preakness_Stakes,2012,15.0
166,6,10,Optimizer,_Preakness_Stakes,2012,30.0
167,7,11,Cozzetti,_Preakness_Stakes,2012,30.0
168,8,1,Tiger Walk,_Preakness_Stakes,2012,30.0
169,9,8,Daddy Nose Best,_Preakness_Stakes,2012,12.0
170,10,5,Went the Day Well,_Preakness_Stakes,2012,6.0
171,11,3,Pretension,_Preakness_Stakes,2012,30.0
172,1,6,Oxbow,_Preakness_Stakes,2013,15.0
173,2,9,Itsmyluckyday,_Preakness_Stakes,2013,10.0
174,3,5,Mylute,_Preakness_Stakes,2013,5.0
175,4,1,Orb,_Preakness_Stakes,2013,1.0
176,5,2,Goldencents,_Preakness_Stakes,2013,8.0
177,6,4,Departing,_Preakness_Stakes,2013,6.0
178,7,7,Will Take Charge,_Preakness_Stakes,2013,12.0
179,8,8,Govenor Charlie,_Preakness_Stakes,2013,12.0
180,9,3,Titletown Five,_Preakness_Stakes,2013,30.0
181,1,3,California Chrome,_Preakness_Stakes,2014,0.6
182,2,10,Ride on Curlin,_Preakness_Stakes,2014,10.0
183,3,8,Social Inclusion,_Preakness_Stakes,2014,5.0
184,4,2,General a Rod,_Preakness_Stakes,2014,15.0
185,5,4,Ring Weekend,_Preakness_Stakes,2014,20.0
186,6,9,Pablo Del Monte,_Preakness_Stakes,2014,20.0
187,7,1,Dynamic Impact,_Preakness_Stakes,2014,12.0
188,8,7,Kid Cruz,_Preakness_Stakes,2014,20.0
189,9,5,Bayern,_Preakness_Stakes,2014,10.0
190,10,6,Ria Antonia,_Preakness_Stakes,2014,30.0
191,1,1,American Pharoah,_Preakness_Stakes,2015,0.8
192,2,5,Tale of Verve,_Preakness_Stakes,2015,30.0
193,3,7,Divining Rod,_Preakness_Stakes,2015,12.0
194,4,2,Dortmund,_Preakness_Stakes,2015,3.5
195,5,3,Mr. Z,_Preakness_Stakes,2015,20.0
196,6,4,Danzig Moon,_Preakness_Stakes,2015,15.0
197,7,8,Firing Line,_Preakness_Stakes,2015,4.0
198,8,6,Bodhisattva,_Preakness_Stakes,2015,20.0
199,1,2,Real Quiet,_Kentucky_Derby,1998,8.4
200,2,12,Victory Gallop,_Kentucky_Derby,1998,14.6
201,3,7,Indian Charlie,_Kentucky_Derby,1998,2.7
202,4,3,Halory Hunter,_Kentucky_Derby,1998,6.6
203,5,10,Cape Town,_Kentucky_Derby,1998,4.6
204,6,9,Parade Ground,_Kentucky_Derby,1998,22.3
205,7,5,Hanuman Highway,_Kentucky_Derby,1998,22.5
206,8,6,Favorite Trick,_Kentucky_Derby,1998,4.4
207,9,1,Nationalore,_Kentucky_Derby,1998,109.6
208,10,13,Old Trieste,_Kentucky_Derby,1998,32.1
209,11,4,Chilito,_Kentucky_Derby,1998,34.8
210,12,15,Robinwould,_Kentucky_Derby,1998,69.8
211,13,11,Artax,_Kentucky_Derby,1998,11.5
212,14,8,Rock and Roll,_Kentucky_Derby,1998,50.6
213,15,14,Basic Trainee,_Kentucky_Derby,1998,69.8
214,1,11,Charismatic,_Kentucky_Derby,1999,31.3
215,2,13,Menifee,_Kentucky_Derby,1999,7.0
216,3,8,Cat Thief,_Kentucky_Derby,1999,7.4
217,4,9,Prime Timber,_Kentucky_Derby,1999,6.3
218,5,2,Excellent Meeting,_Kentucky_Derby,1999,4.8
219,6,17,Kimberlite Pipe,_Kentucky_Derby,1999,11.6
220,7,0,Worldly Manner,_Kentucky_Derby,1999,14.5
221,8,16,K One King,_Kentucky_Derby,1999,11.6
222,9,18,Lemon Drop Kid,_Kentucky_Derby,1999,11.6
223,10,7,Answer Lively,_Kentucky_Derby,1999,37.0
224,11,0,General Challenge,_Kentucky_Derby,1999,4.8
225,12,14,Ecton Park,_Kentucky_Derby,1999,11.6
226,13,6,Desert Hero,_Kentucky_Derby,1999,19.7
227,14,5,Stephen Got Even,_Kentucky_Derby,1999,5.1
228,15,15,Valhol,_Kentucky_Derby,1999,11.6
229,16,10,First American,_Kentucky_Derby,1999,34.9
230,17,3,Adonis,_Kentucky_Derby,1999,18.7
231,18,12,Vicar,_Kentucky_Derby,1999,8.2
232,19,4,Three Ring,_Kentucky_Derby,1999,25.6
233,1,12,Fusaichi Pegasus,_Kentucky_Derby,2000,2.3
234,2,5,Aptitude,_Kentucky_Derby,2000,11.8
235,3,0,Impeachment,_Kentucky_Derby,2000,6.2
236,4,9,More Than Ready,_Kentucky_Derby,2000,11.3
237,5,3,Wheelaway,_Kentucky_Derby,2000,20.8
238,6,11,China Visit,_Kentucky_Derby,2000,23.7
239,7,18,Curule,_Kentucky_Derby,2000,23.7
240,8,7,Captain Steve,_Kentucky_Derby,2000,8.1
241,9,8,War Chant,_Kentucky_Derby,2000,9.9
242,10,6,Deputy Warlock,_Kentucky_Derby,2000,20.8
243,11,5,Trippi,_Kentucky_Derby,2000,6.2
244,12,16,Exchange Rate,_Kentucky_Derby,2000,59.2
245,13,1,Anees,_Kentucky_Derby,2000,17.1
246,14,10,The Deputy,_Kentucky_Derby,2000,4.6
247,15,17,High Yield,_Kentucky_Derby,2000,6.2
248,16,4,Hal's Hope,_Kentucky_Derby,2000,22.7
249,17,12,Commendable,_Kentucky_Derby,2000,6.2
250,18,19,Ronton,_Kentucky_Derby,2000,20.8
251,19,13,Graeme Hall,_Kentucky_Derby,2000,46.3
252,1,16,Monarchos,_Kentucky_Derby,2001,10.5
253,2,13,Invisible Ink,_Kentucky_Derby,2001,55.0
254,3,8,Congaree,_Kentucky_Derby,2001,7.2
255,4,4,Thunder Blitz,_Kentucky_Derby,2001,25.4
256,5,17,Point Given,_Kentucky_Derby,2001,1.8
257,6,15,Jamaican Rum,_Kentucky_Derby,2001,20.2
258,7,9,A P Valentine,_Kentucky_Derby,2001,19.9
259,8,6,Express Tour,_Kentucky_Derby,2001,18.1
260,9,5,Fifty Stars,_Kentucky_Derby,2001,43.6
261,10,12,Startac,_Kentucky_Derby,2001,102.4
262,11,2,Millennium Wind,_Kentucky_Derby,2001,9.9
263,12,7,Artic Boy,_Kentucky_Derby,2001,101.2
264,13,1,Songandaprayer,_Kentucky_Derby,2001,35.9
265,14,3,Balto Star,_Kentucky_Derby,2001,8.3
266,15,10,Dollar Bill,_Kentucky_Derby,2001,6.6
267,16,14,Keats,_Kentucky_Derby,2001,95.0
268,17,11,Talk Is Money,_Kentucky_Derby,2001,47.1
269,1,5,War Emblem,_Kentucky_Derby,2002,20.5
270,2,13,Proud Citizen,_Kentucky_Derby,2002,23.3
271,3,3,Perfect Drift,_Kentucky_Derby,2002,7.9
272,4,9,Medaglia d'Oro,_Kentucky_Derby,2002,6.9
273,5,7,Request for Parole,_Kentucky_Derby,2002,29.8
274,6,8,Came Home,_Kentucky_Derby,2002,8.2
275,7,15,Harlan's Holiday,_Kentucky_Derby,2002,6.0
276,8,1,Johannesburg,_Kentucky_Derby,2002,8.1
277,9,8,Essence of Dubai,_Kentucky_Derby,2002,10.0
278,10,16,Saarland,_Kentucky_Derby,2002,6.9
279,11,20,Blue Burner,_Kentucky_Derby,2002,24.2
280,12,12,Castle Gandolfo,_Kentucky_Derby,2002,14.5
281,13,19,Easy Grades,_Kentucky_Derby,2002,43.8
282,14,11,Private Emblem,_Kentucky_Derby,2002,22.4
283,15,10,Lusty Latin,_Kentucky_Derby,2002,22.1
284,16,18,It'sallinthechase,_Kentucky_Derby,2002,94.5
285,17,6,Ocean Sound,_Kentucky_Derby,2002,48.7
286,18,2,Wild Horses,_Kentucky_Derby,2002,58.5
287,1,6,Funny Cide,_Kentucky_Derby,2003,12.8
288,2,12,Empire Maker,_Kentucky_Derby,2003,2.5
289,3,5,Peace Rules,_Kentucky_Derby,2003,6.3
290,4,4,Atswhatimtalknbout,_Kentucky_Derby,2003,8.9
291,5,13,Eye of the Tiger,_Kentucky_Derby,2003,41.5
292,6,8,Buddy Gil,_Kentucky_Derby,2003,7.2
293,7,15,Outta Here,_Kentucky_Derby,2003,39.7
294,8,14,Ten Cents a Shine,_Kentucky_Derby,2003,37.2
295,9,16,Ten Most Wanted,_Kentucky_Derby,2003,6.6
296,10,11,Domestic Dispute,_Kentucky_Derby,2003,4.0
297,11,17,Scrimshaw,_Kentucky_Derby,2003,16.5
298,12,7,Offlee Wild,_Kentucky_Derby,2003,29.9
299,13,1,Supah Blitz,_Kentucky_Derby,2003,43.1
300,14,9,Indian Express,_Kentucky_Derby,2003,10.8
301,15,10,Lone Star Sky,_Kentucky_Derby,2003,52.1
302,16,2,Brancusi,_Kentucky_Derby,2003,29.3
303,1,15,Smarty Jones,_Kentucky_Derby,2004,4.1
304,2,3,Lion Heart,_Kentucky_Derby,2004,5.4
305,3,10,Imperialism,_Kentucky_Derby,2004,10.9
306,4,1,Limehouse,_Kentucky_Derby,2004,41.7
307,5,11,The Cliff's Edge,_Kentucky_Derby,2004,8.2
308,6,4,Action This Day,_Kentucky_Derby,2004,43.4
309,7,14,Read the Footnotes,_Kentucky_Derby,2004,22.5
310,8,13,Birdstone,_Kentucky_Derby,2004,21.2
311,9,18,Tapit,_Kentucky_Derby,2004,6.4
312,10,12,Borrego,_Kentucky_Derby,2004,14.2
313,11,2,Song of the Sword,_Kentucky_Derby,2004,55.9
314,12,8,Master David,_Kentucky_Derby,2004,10.6
315,13,19,Pro Prado,_Kentucky_Derby,2004,53.5
316,14,16,Castledale,_Kentucky_Derby,2004,21.9
317,15,6,Friends Lake,_Kentucky_Derby,2004,18.5
318,16,7,Minister Eric,_Kentucky_Derby,2004,22.5
319,17,17,Pollard's Vision,_Kentucky_Derby,2004,24.0
320,18,20,Quintons Gold Rush,_Kentucky_Derby,2004,51.2
321,1,10,Giacomo,_Kentucky_Derby,2005,50.3
322,2,18,Closing Argument,_Kentucky_Derby,2005,71.6
323,3,12,Afleet Alex,_Kentucky_Derby,2005,4.5
324,4,17,Don't Get Mad,_Kentucky_Derby,2005,29.2
325,5,20,Buzzard's Bay,_Kentucky_Derby,2005,46.3
326,6,14,Wilko,_Kentucky_Derby,2005,21.7
327,7,16,Bellamy Road,_Kentucky_Derby,2005,2.6
328,8,2,Andromeda's Hero,_Kentucky_Derby,2005,57.3
329,9,7,Flower Alley,_Kentucky_Derby,2005,41.3
330,10,11,High Fly,_Kentucky_Derby,2005,7.1
331,11,9,Greeley's Galaxy,_Kentucky_Derby,2005,21.0
332,12,5,Coin Silver,_Kentucky_Derby,2005,38.6
333,13,8,Greater Good,_Kentucky_Derby,2005,58.4
334,14,4,Noble Causeway,_Kentucky_Derby,2005,12.3
335,15,3,Sun King,_Kentucky_Derby,2005,15.7
336,16,13,Spanish Chestnut,_Kentucky_Derby,2005,71.0
337,17,1,Sort It Out,_Kentucky_Derby,2005,61.9
338,18,19,Going Wild,_Kentucky_Derby,2005,59.5
339,19,15,Bandini,_Kentucky_Derby,2005,6.8
340,20,6,High Limit,_Kentucky_Derby,2005,22.5
341,1,8,Barbaro,_Kentucky_Derby,2006,6.1
342,2,13,Bluegrass Cat,_Kentucky_Derby,2006,30.0
343,3,2,Steppenwolfer,_Kentucky_Derby,2006,16.3
344,4,18,Brother Derek,_Kentucky_Derby,2006,24.2
345,4,1,Jazil,_Kentucky_Derby,2006,7.7
346,6,6,Showing Up,_Kentucky_Derby,2006,26.2
347,7,11,Sweetnorthernsaint,_Kentucky_Derby,2006,5.5
348,8,14,Deputy Glitters,_Kentucky_Derby,2006,60.6
349,9,5,Point Determined,_Kentucky_Derby,2006,9.4
350,10,15,Seaside Retreat,_Kentucky_Derby,2006,52.5
351,11,19,Storm Treasure,_Kentucky_Derby,2006,51.9
352,12,17,Lawyer Ron,_Kentucky_Derby,2006,10.2
353,13,16,Cause to Believe,_Kentucky_Derby,2006,25.9
354,14,20,Flashy Bull,_Kentucky_Derby,2006,43.0
355,15,12,Private Vow,_Kentucky_Derby,2006,40.5
356,16,4,Sinister Minister,_Kentucky_Derby,2006,9.7
357,17,7,Bob and John,_Kentucky_Derby,2006,12.9
358,18,10,A.P. Warrior,_Kentucky_Derby,2006,14.1
359,19,9,Sharp Humor,_Kentucky_Derby,2006,30.1
360,20,3,Keyed Entry,_Kentucky_Derby,2006,28.8
361,1,7,Street Sense,_Kentucky_Derby,2007,4.9
362,2,8,Hard Spun,_Kentucky_Derby,2007,10.0
363,3,2,Curlin,_Kentucky_Derby,2007,5.0
364,4,5,Imawildandcrazyguy,_Kentucky_Derby,2007,28.9
365,5,1,Sedgefield,_Kentucky_Derby,2007,58.6
366,6,16,Circular Quay,_Kentucky_Derby,2007,11.4
367,7,15,Tiago,_Kentucky_Derby,2007,14.8
368,8,18,Any Given Saturday,_Kentucky_Derby,2007,13.6
369,9,13,Sam P.,_Kentucky_Derby,2007,43.7
370,10,12,Nobiz Like Shobiz,_Kentucky_Derby,2007,10.4
371,11,19,Dominican,_Kentucky_Derby,2007,24.9
372,12,3,Zanjero,_Kentucky_Derby,2007,36.0
373,13,20,Great Hunter,_Kentucky_Derby,2007,25.3
374,14,9,Liquidity,_Kentucky_Derby,2007,40.0
375,15,11,Bwana Bull,_Kentucky_Derby,2007,50.3
376,16,4,Storm in May,_Kentucky_Derby,2007,27.2
377,17,10,Teuflesberg,_Kentucky_Derby,2007,51.9
378,18,14,Scat Daddy,_Kentucky_Derby,2007,7.2
379,19,17,Stormello,_Kentucky_Derby,2007,44.8
380,20,6,Cowtown Cat,_Kentucky_Derby,2007,19.8
381,15,1,Cool Coal Man,_Kentucky_Derby,2008,44.0
382,4,2,Tale of Ekati,_Kentucky_Derby,2008,37.0
383,7,3,Anak Nakal,_Kentucky_Derby,2008,53.0
384,13,4,Court Vision,_Kentucky_Derby,2008,17.0
385,2,5,Eight Belles,_Kentucky_Derby,2008,13.0
386,10,6,Z Fortune,_Kentucky_Derby,2008,19.0
387,18,7,Big Truck,_Kentucky_Derby,2008,28.0
388,12,8,Visionaire,_Kentucky_Derby,2008,25.0
389,8,9,Pyro,_Kentucky_Derby,2008,5.0
390,6,10,Colonel John,_Kentucky_Derby,2008,4.5
391,14,11,Z Humor,_Kentucky_Derby,2008,63.0
392,11,12,Smooth Air,_Kentucky_Derby,2008,42.0
393,16,13,Bob Black Jack,_Kentucky_Derby,2008,29.0
394,20,14,Monba,_Kentucky_Derby,2008,31.0
395,19,15,Adriano,_Kentucky_Derby,2008,28.0
396,3,16,Denis of Cork,_Kentucky_Derby,2008,27.0
397,9,17,Cowboy Cal,_Kentucky_Derby,2008,39.0
398,5,18,Recapturetheglory,_Kentucky_Derby,2008,49.0
399,17,19,Gayego,_Kentucky_Derby,2008,18.0
400,1,20,Big Brown,_Kentucky_Derby,2008,2.0
401,1,8,Mine That Bird,_Kentucky_Derby,2009,50.6
402,2,16,Pioneerof the Nile,_Kentucky_Derby,2009,6.3
403,3,2,Musket Man,_Kentucky_Derby,2009,19.0
