,Finish,Post,Horse,Track,Year,Odds,Odds2
148,2nd,11,Animal Kingdom,_Preakness_Stakes,2011,1-Feb,2.00
149,3rd,1,Astrology,_Preakness_Stakes,2011,15.0 !15‰ÛÒ1,15.00
150,4th,10,Dialed In,_Preakness_Stakes,2011,04.5 !9‰ÛÒ2,4.50
151,5th,8,Dance City,_Preakness_Stakes,2011,12.0 !12‰ÛÒ1,12.00
152,6th,9,Mucho Macho Man,_Preakness_Stakes,2011,06.0 !6‰ÛÒ1,6.00
153,7th,3,King Congie,_Preakness_Stakes,2011,20.0 !20‰ÛÒ1,20.00
154,8th,14,Mr. Commons,_Preakness_Stakes,2011,20.0 !20‰ÛÒ1,20.00
155,9th,12,Isn't He Perfect,_Preakness_Stakes,2011,30.0 !30‰ÛÒ1,30.00
156,10th,13,Concealed Identity,_Preakness_Stakes,2011,30.0 !30‰ÛÒ1,30.00
157,11th,2,Norman Asbjornson,_Preakness_Stakes,2011,30.0 !30‰ÛÒ1,30.00
158,12th,6,Sway Away,_Preakness_Stakes,2011,15.0 !15‰ÛÒ1,15.00
159,13th,7,Midnight Interlude,_Preakness_Stakes,2011,15.0 !15‰ÛÒ1,15.00
160,14th,4,Flashpoint,_Preakness_Stakes,2011,20.0 !20‰ÛÒ1,20.00
161,1st,9,I'll Have Another,_Preakness_Stakes,2012,2-May,2.50
162,2nd,7,Bodemeister,_Preakness_Stakes,2012,5-Aug,1.60
163,3rd,6,Creative Cause,_Preakness_Stakes,2012,1-Jun,6.00
164,th,4,Zetterholm,_Preakness_Stakes,2012,20-1,20.00
165,5th,2,Teeth of the Dog,_Preakness_Stakes,2012,15-1,15.00
166,6th,10,Optimizer,_Preakness_Stakes,2012,30-1,30.00
167,7th,11,Cozzetti,_Preakness_Stakes,2012,30-1,30.00
168,8th,1,Tiger Walk,_Preakness_Stakes,2012,30-1,30.00
169,9th,8,Daddy Nose Best,_Preakness_Stakes,2012,1-Dec,12.00
170,10th,5,Went the Day Well,_Preakness_Stakes,2012,1-Jun,6.00
171,11th,3,Pretension,_Preakness_Stakes,2012,30-1,30.00
172,1st,6,Oxbow,_Preakness_Stakes,2013,15-1,15.00
173,2nd,9,Itsmyluckyday,_Preakness_Stakes,2013,1-Oct,10.00
174,3rd,5,Mylute,_Preakness_Stakes,2013,1-May,5.00
175,4th,1,Orb,_Preakness_Stakes,2013,1-Jan,1.00
176,5th,2,Goldencents,_Preakness_Stakes,2013,1-Aug,8.00
177,6th,4,Departing,_Preakness_Stakes,2013,1-Jun,6.00
178,7th,7,Will Take Charge,_Preakness_Stakes,2013,1-Dec,12.00
179,8th,8,Govenor Charlie,_Preakness_Stakes,2013,1-Dec,12.00
180,9th,3,Titletown Five,_Preakness_Stakes,2013,30-1,30.00
181,1,3,California Chrome,_Preakness_Stakes,2014,5-Mar,0.60
182,2,10,Ride on Curlin,_Preakness_Stakes,2014,1-Oct,10.00
183,3,8,Social Inclusion,_Preakness_Stakes,2014,1-May,5.00
184,4,2,General a Rod,_Preakness_Stakes,2014,15-1,15.00
185,5,4,Ring Weekend,_Preakness_Stakes,2014,20-1,20.00
186,6,9,Pablo Del Monte,_Preakness_Stakes,2014,20-1,20.00
187,7,1,Dynamic Impact,_Preakness_Stakes,2014,1-Dec,12.00
188,8,7,Kid Cruz,_Preakness_Stakes,2014,20-1,20.00
189,9,5,Bayern,_Preakness_Stakes,2014,1-Oct,10.00
190,10,6,Ria Antonia‰ÛÊ,_Preakness_Stakes,2014,30-1,30.00
191,1,1,American Pharoah,_Preakness_Stakes,2015,6999800000000000000‰ªÊ4-5,0.80
192,2,5,Tale of Verve,_Preakness_Stakes,2015,7001300000000000000‰ªÊ30-1,30.00
193,3,7,Divining Rod,_Preakness_Stakes,2015,7001120000000000000‰ªÊ12-1,12.00
194,4,2,Dortmund,_Preakness_Stakes,2015,7000350000000000000‰ªÊ7-2,3.50
195,5,3,Mr. Z,_Preakness_Stakes,2015,7001200000000000000‰ªÊ20-1,20.00
196,6,4,Danzig Moon,_Preakness_Stakes,2015,7001150000000000000‰ªÊ15-1,15.00
197,7,8,Firing Line,_Preakness_Stakes,2015,7000400000000000000‰ªÊ4-1,4.00
198,8,6,Bodhisattva,_Preakness_Stakes,2015,7001200000000000000‰ªÊ20-1,20.00
199,1st,2,Real Quiet,_Kentucky_Derby,1998,8.4,8.40
200,2nd,12,Victory Gallop,_Kentucky_Derby,1998,14.6,14.60
201,3rd,7,Indian Charlie,_Kentucky_Derby,1998,2.7,2.70
202,4th,3,Halory Hunter,_Kentucky_Derby,1998,6.6,6.60
203,5th,10,Cape Town,_Kentucky_Derby,1998,4.6,4.60
204,6th,9,Parade Ground,_Kentucky_Derby,1998,22.3,22.30
205,7th,5,Hanuman Highway,_Kentucky_Derby,1998,22.5,22.50
206,8th,6,Favorite Trick,_Kentucky_Derby,1998,4.4,4.40
207,9th,1,Nationalore,_Kentucky_Derby,1998,109.6,109.60
208,10th,13,Old Trieste,_Kentucky_Derby,1998,32.1,32.10
209,11th,4,Chilito,_Kentucky_Derby,1998,34.8,34.80
210,12th,15,Robinwould,_Kentucky_Derby,1998,69.8,69.80
211,13th,11,Artax,_Kentucky_Derby,1998,11.5,11.50
212,14th,8,Rock and Roll,_Kentucky_Derby,1998,50.6,50.60
213,15th,14,Basic Trainee,_Kentucky_Derby,1998,69.8,69.80
214,1st,11,Charismatic,_Kentucky_Derby,1999,31.3,31.30
215,2nd,13,Menifee,_Kentucky_Derby,1999,7,7.00
